id,text,course,teacher,label
1,老师讲课很清楚，课堂互动很多，课程内容也很有帮助。,自然语言处理,张老师,positive
2,作业太多了，每周都做不完，希望能适当减少。,自然语言处理,张老师,negative
3,实验环境配置比较麻烦，但课程内容还不错。,自然语言处理,张老师,neutral
4,老师讲解案例很详细，能帮助我们理解抽象概念。,自然语言处理,张老师,positive
5,考试范围不太明确，复习时抓不到重点。,自然语言处理,张老师,negative
6,课程难度比较大，但学完之后收获很多。,自然语言处理,张老师,neutral
7,希望老师能多给一些代码示例，实验会更容易跟上。,自然语言处理,张老师,neutral
8,PPT 内容比较多，课堂节奏有点快。,自然语言处理,张老师,negative
9,课堂氛围很好，老师会鼓励大家提问。,自然语言处理,张老师,positive
10,实验报告要求比较细，提交时间有点紧。,自然语言处理,张老师,negative
11,课程内容系统，知识点之间联系讲得比较清楚。,自然语言处理,张老师,positive
12,如果能提前公布复习重点就更好了。,自然语言处理,张老师,neutral
13,The instructor explains concepts clearly and the examples are very helpful.,Machine Learning,Online Instructor,positive
14,The assignments are too many and the deadlines feel stressful.,Machine Learning,Online Instructor,negative
15,The course is difficult but I learned many practical skills.,Machine Learning,Online Instructor,neutral
16,The videos are well organized and the pace is comfortable.,Deep Learning,Online Instructor,positive
17,Some quiz questions are unclear and the grading feedback is limited.,Deep Learning,Online Instructor,negative
18,I wish the course provided more coding projects and setup guidance.,Python Programming,Online Instructor,neutral
19,The lectures are engaging and the instructor gives clear explanations.,Python Programming,Online Instructor,positive
20,The environment setup is confusing and the code examples sometimes fail.,Python Programming,Online Instructor,negative
21,The certificate is useful but the peer review process takes too long.,Online Course,Online Instructor,neutral
22,This course helped me understand the core concepts quickly.,Online Course,Online Instructor,positive
23,The material feels outdated and several links no longer work.,Online Course,Online Instructor,negative
24,The content is good but I hope there are more real world projects.,Online Course,Online Instructor,neutral
